current_number	serpitem_value_1	serpitem_value_1_numbers	serpitemtext_value	serpitem_value_2	serpitem_value_2_numbers	city	district	street	house_num	address	serpitem_value_3	serpitem_value_3_numbers	serpitemprop_values_1	serpitem_flag	serpitem_flag_numbers	label_2	metres2	metres3	serpitem_number	serpitemprop_values_2	metres	levels	serpitem_value_5_numbers	agency	serpitemtext_description	link
1	из 6	6		24 мин пешком	24	Москва	район Рязанский	Зарайская ул.	35	Москва, Зарайская ул., 35	25 000 руб./мес.	25000	комиссия 100%; без залога; агентам не звонить	2-комнатная	2	на длительный срок	42 м	42	2	кухня 7 м 2; жилая 30 м 2	7; 2; 30; 2	4 этаж из 9	4; 9	Интеркам	Ирина, квартира после ремонта, без мебели.	http://www.cian.ru/rent/flat/34264362/
1	из 6	6		8 мин пешком	8	Москва	район Рязанский	ул. Академика Скрябина	16К2	Москва, ул. Академика Скрябина, 16К2	25 000 руб./мес.	25000	комиссия 50%; залог	2-комнатная	2	на длительный срок	44 м	44	2	кухня 6 м 2; жилая 29,5 м 2	6; 2; 295; 2	2 этаж из 9	2; 9	Людмила Рожкова	Квартира без балкона. Сдается на любой срок. В настоящее время находится на продаже. Гарантировано проживание в течение 1 месяца. Залог 10 000. Спальных мест нет. Предыдущие жильцы были со своей надувной кроватью.	http://www.cian.ru/rent/flat/32374637/
1	из 5	5		10 мин на транспорте	10	Москва	район Рязанский	Рязанский просп.	47К3	Москва, Рязанский просп., 47К3	25 000 руб./мес.	25000	комиссия 40%; без залога	2-комнатная	2	на длительный срок	46 м	46	2	кухня 6 м 2; жилая 32 м 2	6; 2; 32; 2	4 этаж из 5	4; 5	Nadezda	ул.Рязанский пр-т д.47.к.2.Отличная чистая квартира.Комнаты смежныеНа кухне-гарнитур,холодильник,В 1 комнате-шкаф,2-х.спальная кровать.В другой только шкаф.Cлавян	http://www.cian.ru/rent/flat/33234714/
1	из 7	7		2 мин на транспорте	2	Москва	район Нижегородский	Рязанский просп.	25	Москва, Рязанский просп., 25	26 000 руб./мес.	26000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	38 м	38	2	кухня 6 м 2; жилая 30 м 2	6; 2; 30; 2	4 этаж из 5	4; 5	ИстЛайн	БЕЗ ЗАЛОГА! Сдается чистая уютная квартира. Укомплектована всей необходимой мебелью и бытовой техникой. Комнаты изолированы. Кухонная мебель гарнитурная.Санузел совмещен. Сдается на длительный срок. Рассмотрим всех приличных. Азию не предлагать.	http://www.cian.ru/rent/flat/30015742/
1	из 7	7		10 мин пешком	10	Москва	район Кузьминки	ул. Академика Скрябина	26К3	Москва, ул. Академика Скрябина, 26К3	26 000 руб./мес.	26000	комиссия 70%; без залога	2-комнатная	2	на длительный срок	45 м	45	2	кухня 9 м 2; жилая 30 м 2	9; 2; 30; 2	3 этаж из 12	3; 12	Континент Плюс	Срочно. 88167988683 комнаты изолированные, Без депозита. Чистая квартира, вся мебель: диван, две кровати, шкаф, холодильник, стиральная машина автомат. Рассмотрят всех приличных состав обсуждается. Показ оперативно	http://www.cian.ru/rent/flat/34205549/
1	из 8	8		5 мин на транспорте	5	Москва	район Нижегородский	Рязанский просп.	25	Москва, Рязанский просп., 25	27 000 руб./мес.	27000	комиссия 50%; без залога	2-комнатная	2	на длительный срок	42 м	42	2	кухня 6 м 2; жилая 31 м 2	6; 2; 31; 2	4 этаж из 5	4; 5	МГСН-Новослободское	БЕЗ ДЕПОЗИТА. Дом кирпичный. Квартира с изолированными комнатами, имеется вся необходимая мебель, кухонный гарнитур, холодильник.	http://www.cian.ru/rent/flat/29146354/
1	из 7	7		7 мин на транспорте	7	Москва	район Рязанский	ул. Михайлова	6	Москва, ул. Михайлова, 6	27 000 руб./мес.	27000	комиссия 50%; залог	2-комнатная	2	на длительный срок	41 м	41	2	кухня 6 м 2; жилая 30 м 2	6; 2; 30; 2	4 этаж из 5	4; 5	ИНКОМ-Недвижимость / Аренда / Офис Таганское	Д.6 Комнаты смежные. После косметического ремонта. Кухонный гарнитур. Бытовая техника. Стеклопакеты. Стенка, мягкая мебель, кровать, шкаф. Кладовая комната. Домофон, без животных. ГАРАНТИЙНЫЙ ТАЛОН нанимателю при оплате 100%. ИНКОМ-Таганское. Номер лота: 1708764	http://www.cian.ru/rent/flat/26825182/
1	из 10	10		24 мин пешком	24	Москва	район Рязанский	Зарайская ул.	35	Москва, Зарайская ул., 35	27 000 руб./мес.	27000	комиссия 50%; залог	2-комнатная	2	на длительный срок	39 м	39	2	кухня 8 м 2; жилая 23 м 2	8; 2; 23; 2	8 этаж из 9	8; 9	AVALON	Светлана - станция Плющево 3 мин пешком, квартира сдаётся на длительный срок, комнаты 14-9 м изолированные, дом после капитального ремонта, окна стеклопакеты, балкон застеклён, имеется вся необходимая мебель, бытовая техника, сан/узел совмещён в плитке.	http://www.cian.ru/rent/flat/34046422/
1	из 8	8		5 мин на транспорте	5	Москва	район Рязанский	Рязанский просп.	47К2	Москва, Рязанский просп., 47К2	27 000 руб./мес.	27000	комиссия 30%; без залога	2-комнатная	2	на длительный срок	54 м	54	2	кухня 6 м 2; жилая 32 м 2	6; 2; 32; 2	5 этаж из 5	5; 5	Nadezda	Ул.Рязанский пр-т д.47 к.2.комнаты смежные.Отличная чистпэая квартира.на кухне-гарнитур,холодильник,стиральная.В 1 комнате-стенка,диван.В другой-шкаф,2-х.спальная кровать.Строго славян.ЧУДЕСНАЯ оплата помесячно без залогов и предоплат	http://www.cian.ru/rent/flat/34063087/
			Нет фото	15 мин пешком	15	Москва	район Кузьминки	ул. Федора Полетаева	32К5	Москва, ул. Федора Полетаева, 32К5	28 000 руб./мес.	28000	комиссия 70%; залог	2-комнатная	2	на длительный срок	55 м	55	2	жилая 27 м 2	27; 2	1 этаж из 12	1; 12	РЕСПЕКТ	БЕЗ ЗАЛОГА.....Сдается 2 ка комнаты смежные. квартира чистая.окно ПВХ.Славян	http://www.cian.ru/rent/flat/33197622/
