"id","sid","2015-10-08 00:00:00","2015-10-08 00:10:00","2015-10-08 00:20:00","2015-10-08 00:30:00","2015-10-08 00:40:00","2015-10-08 00:50:00","2015-10-08 01:00:00","2015-10-08 01:10:00","2015-10-08 01:20:00","2015-10-08 01:30:00","2015-10-08 01:40:00","2015-10-08 01:50:00","2015-10-08 02:00:00","2015-10-08 02:10:00","2015-10-08 02:20:00","2015-10-08 02:30:00","2015-10-08 02:40:00","2015-10-08 02:50:00","2015-10-08 03:00:00","2015-10-08 03:10:00","2015-10-08 03:20:00","2015-10-08 03:30:00","2015-10-08 03:40:00","2015-10-08 03:50:00","2015-10-08 04:00:00","2015-10-08 04:10:00","2015-10-08 04:20:00","2015-10-08 04:30:00","2015-10-08 04:40:00","2015-10-08 04:50:00","2015-10-08 05:00:00","2015-10-08 05:10:00","2015-10-08 05:20:00","2015-10-08 05:30:00","2015-10-08 05:40:00","2015-10-08 05:50:00","2015-10-08 06:00:00","2015-10-08 06:10:00","2015-10-08 06:20:00","2015-10-08 06:30:00","2015-10-08 06:40:00","2015-10-08 06:50:00","2015-10-08 07:00:00","2015-10-08 07:10:00","2015-10-08 07:20:00","2015-10-08 07:30:00","2015-10-08 07:40:00","2015-10-08 07:50:00","2015-10-08 08:00:00","2015-10-08 08:10:00","2015-10-08 08:20:00","2015-10-08 08:30:00","2015-10-08 08:40:00","2015-10-08 08:50:00","2015-10-08 09:00:00","2015-10-08 09:10:00","2015-10-08 09:20:00","2015-10-08 09:30:00","2015-10-08 09:40:00","2015-10-08 09:50:00","2015-10-08 10:00:00","2015-10-08 10:10:00","2015-10-08 10:20:00","2015-10-08 10:30:00","2015-10-08 10:40:00","2015-10-08 10:50:00","2015-10-08 11:00:00","2015-10-08 11:10:00","2015-10-08 11:20:00","2015-10-08 11:30:00","2015-10-08 11:40:00","2015-10-08 11:50:00","2015-10-08 12:00:00","2015-10-08 12:10:00","2015-10-08 12:20:00","2015-10-08 12:30:00","2015-10-08 12:40:00","2015-10-08 12:50:00","2015-10-08 13:00:00","2015-10-08 13:10:00","2015-10-08 13:20:00","2015-10-08 13:30:00","2015-10-08 13:40:00","2015-10-08 13:50:00","2015-10-08 14:00:00","2015-10-08 14:10:00","2015-10-08 14:20:00","2015-10-08 14:30:00","2015-10-08 14:40:00","2015-10-08 14:50:00","2015-10-08 15:00:00","2015-10-08 15:10:00","2015-10-08 15:20:00","2015-10-08 15:30:00","2015-10-08 15:40:00","2015-10-08 15:50:00","2015-10-08 16:00:00","2015-10-08 16:10:00","2015-10-08 16:20:00","2015-10-08 16:30:00","2015-10-08 16:40:00","2015-10-08 16:50:00","2015-10-08 17:00:00","2015-10-08 17:10:00","2015-10-08 17:20:00","2015-10-08 17:30:00","2015-10-08 17:40:00","2015-10-08 17:50:00","2015-10-08 18:00:00","2015-10-08 18:10:00","2015-10-08 18:20:00","2015-10-08 18:30:00","2015-10-08 18:40:00","2015-10-08 18:50:00","2015-10-08 19:00:00","2015-10-08 19:10:00","2015-10-08 19:20:00","2015-10-08 19:30:00","2015-10-08 19:40:00","2015-10-08 19:50:00","2015-10-08 20:00:00","2015-10-08 20:10:00","2015-10-08 20:20:00","2015-10-08 20:30:00","2015-10-08 20:40:00","2015-10-08 20:50:00","2015-10-08 21:00:00","2015-10-08 21:10:00","2015-10-08 21:20:00","2015-10-08 21:30:00","2015-10-08 21:40:00","2015-10-08 21:50:00","2015-10-08 22:00:00","2015-10-08 22:10:00","2015-10-08 22:20:00","2015-10-08 22:30:00","2015-10-08 22:40:00","2015-10-08 22:50:00","2015-10-08 23:00:00","2015-10-08 23:10:00","2015-10-08 23:20:00","2015-10-08 23:30:00","2015-10-08 23:40:00","2015-10-08 23:50:00","2015-10-09 00:00:00"
"1",72,21,20,23,23,24,8,6,6,7,9,10,13,15,16,17,18,17,17,18,20,21,20,20,20,20,19,19,19,19,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,18,19,18,17,17,18,18,19,20,21,20,20,22,22,16,14,10,4,6,11,12,10,5,7,6,6,4,2,2,3,16,17,17,18,17,16,17,17,18,17,16,15,13,13,10,10,10,10,13,14,12,11,10,10,8,8,10,10,9,7,7,7,6,8,8,9,9,11,11,10,7,7,5,2,0,1,3,1,0,0,0,2,1,3,4
"2",79,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,2,0,1,2,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,3,3,4,5,6,6,10,11,12,11,12,14,13,13,17,18,22,25,31,31,32,32,31,30,32,32,32,32,32,30,32,32,30,30,31,31,31,32,31,30,29,29,27,26,25,26,25,23,23,22,20,20,21,20,19,19,22,20,19,19,19,21,21,20,18,18,18,19,17,17,17,16,15,11,12,11,11,10,8,11,12,10,11
"3",82,12,13,14,14,14,14,12,12,10,9,10,9,10,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,14,13,13,13,11,10,10,9,8,7,7,7,6,7,7,7,8,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,8,6,6,6,5,6,5,5,6,6,6,6,7,6,6,6,8,7,9,9,9,9,8,8,8,8,8,8,7,9,9,9,10,13,12,12,12,13,14,14,15,15,15
"4",83,2,3,2,3,3,1,1,1,1,2,2,2,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,6,6,6,6,7,6,6,5,5,4,4,3,2,2,1,1,1,2,2,2,2,2,2,2,7,7,6,5,5,6,7,8,10,10,10,10,10,10,6,8,8,8,8,8,8,7,7,7,7,6,5,4,3,2,2,1,0,1,2,2,2,3,3,3,2,3,4,4,4
"5",116,12,9,11,18,21,16,10,12,14,14,14,17,16,16,18,17,20,21,21,20,22,23,23,23,25,27,26,27,26,28,28,28,27,28,28,28,28,28,28,28,28,28,25,25,25,24,24,24,24,24,25,25,25,27,27,26,26,26,25,25,24,24,24,24,24,23,21,21,21,19,17,18,18,19,24,22,21,18,12,13,9,11,13,13,16,22,28,25,25,25,24,24,26,27,29,25,19,22,22,23,23,24,23,24,22,21,20,19,22,16,18,15,14,15,14,13,14,16,14,14,11,9,10,11,11,9,4,1,4,1,0,2,4,3,2,3,1,1,2,1,5,4,3,0,0
"6",119,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"7",120,6,5,5,5,5,5,6,6,6,6,7,8,7,7,6,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,3,3,3,3,4,4,3,3,3,4,6,7,8,8,7,8,8,10,9,8
"8",127,12,13,15,20,18,26,27,29,29,28,29,29,28,29,29,29,29,29,28,28,27,25,27,27,29,27,28,28,26,26,25,25,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,26,26,26,26,26,25,26,27,27,28,27,20,15,17,12,10,7,1,2,1,1,4,8,6,3,1,2,3,6,7,4,4,7,5,3,4,4,2,4,7,9,11,10,10,10,5,4,2,4,6,6,7,6,8,7,9,8,4,4,3,0,3,6,9,9,7,5,5,8,10,6,1,4,3,3,8,7,16,20,25,22,28,28,28,28
"9",137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,5,8,8,11,13,18,26,33,36,42,46,46,46,46,45,46,46,45,45,46,45,45,45,45,46,44,44,45,41,30,22,22,24,23,23,23,25,25,25,23,23,22,23,22,23,21,21,22,18,18,19,17,17,15,16,15,12,13,9,6,3,0,0,0,0,0,0,0,0,0,2,3,0,1,13,22,22,18,11
"10",143,11,11,11,10,10,10,9,10,11,12,12,12,13,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,14,14,13,12,12,12,12,12,15,14,11,8,7,5,3,3,3,5,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,2,2,2,2,2,0,1,1,3,2,2,4,4,4,4,4,4,4,2,2,4,5,6,6,6
