"id","sid","2015-10-08 00:05:00","2015-10-08 00:12:00","2015-10-08 00:34:00","2015-10-08 00:40:00","2015-10-08 01:32:00","2015-10-08 01:52:00","2015-10-08 02:52:00","2015-10-08 02:58:00","2015-10-08 04:13:00","2015-10-08 04:30:00","2015-10-08 05:58:00","2015-10-08 06:16:00","2015-10-08 06:41:00","2015-10-08 06:54:00","2015-10-08 07:07:00","2015-10-08 07:25:00","2015-10-08 07:38:00","2015-10-08 07:52:00","2015-10-08 08:05:00","2015-10-08 08:18:00","2015-10-08 08:31:00","2015-10-08 08:44:00","2015-10-08 08:57:00","2015-10-08 09:10:00","2015-10-08 09:22:00","2015-10-08 09:35:00","2015-10-08 09:48:00","2015-10-08 10:00:00","2015-10-08 10:12:00","2015-10-08 10:24:00","2015-10-08 10:37:00","2015-10-08 10:49:00","2015-10-08 11:03:00","2015-10-08 11:18:00","2015-10-08 11:33:00","2015-10-08 11:48:00","2015-10-08 12:02:00","2015-10-08 12:17:00","2015-10-08 12:32:00","2015-10-08 12:47:00","2015-10-08 12:59:00","2015-10-08 13:12:00","2015-10-08 13:24:00","2015-10-08 13:37:00","2015-10-08 13:49:00","2015-10-08 14:02:00","2015-10-08 14:15:00","2015-10-08 14:28:00","2015-10-08 14:40:00","2015-10-08 14:53:00","2015-10-08 15:07:00","2015-10-08 15:20:00","2015-10-08 15:33:00","2015-10-08 15:46:00","2015-10-08 15:59:00","2015-10-08 16:13:00","2015-10-08 16:26:00","2015-10-08 16:39:00","2015-10-08 16:52:00","2015-10-08 17:06:00","2015-10-08 17:19:00","2015-10-08 17:32:00","2015-10-08 17:53:00","2015-10-08 18:12:00","2015-10-08 18:25:00","2015-10-08 18:38:00","2015-10-08 18:51:00","2015-10-08 19:04:00","2015-10-08 19:17:00","2015-10-08 19:30:00","2015-10-08 19:43:00","2015-10-08 19:55:00","2015-10-08 20:08:00","2015-10-08 20:21:00","2015-10-08 20:39:00","2015-10-08 20:53:00","2015-10-08 21:03:00","2015-10-08 21:18:00","2015-10-08 21:29:00","2015-10-08 21:41:00","2015-10-08 21:53:00","2015-10-08 22:04:00","2015-10-08 22:16:00","2015-10-08 22:27:00","2015-10-08 22:38:00","2015-10-08 22:56:00","2015-10-08 23:04:00","2015-10-08 23:16:00","2015-10-08 23:24:00","2015-10-08 23:35:00","2015-10-08 23:50:00","2015-10-08 23:56:00"
"1",72,"19","19","19","17","17","18","18","18","18","18","18","19","17","18","19","21","20","20","22","16","15","5","5","11","12","5","7","6","5","2","2","3","17","17","18","16","17","17","16","16","13","13","10","10","10","13","12","12","10","8","8","10","9","7","7","6","7","8","9","9","12","12","3","0","1","3","0","0","0","2","3","4","5","7","9","9","10","7","7","7","8","8","9","9","9","9","9","10","8","7","8","8"
"2",79,"0","1","1","1","0","0","0","0","2","2","2","2","4","5","7","10","12","11","14","13","13","18","21","25","31","31","32","31","31","32","32","32","32","32","32","30","31","30","31","30","29","29","27","25","26","25","24","21","20","20","20","19","21","19","19","19","20","21","18","18","18","18","17","15","12","11","10","11","8","11","11","11","12","10","6","3","2","2","1","1","1","1","1","1","1","2","2","4","4","4","4","5"
"3",82,"11","11","11","11","12","12","12","12","13","14","14","14","14","13","13","13","14","13","13","12","10","10","8","7","7","7","7","7","6","8","8","8","8","8","8","8","7","7","7","7","8","6","6","5","6","5","5","6","6","6","6","6","7","7","9","9","9","8","8","9","8","8","9","9","10","11","12","12","14","14","15","15","15","16","13","14","14","15","15","15","15","16","16","17","18","19","19","19","19","19","19","19"
"4",83,"4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","6","6","6","7","6","5","5","4","4","3","2","1","1","2","2","2","2","3","7","6","5","5","6","8","10","10","10","10","6","8","8","8","7","8","7","7","7","6","4","3","2","1","1","2","2","3","3","2","3","4","4","4","4","4","4","4","3","2","3","3","4","4","4","4","5","6","7","7","7","7","7"
"5",116,"27","27","27","26","28","28","25","25","24","25","24","24","23","22","21","20","17","17","17","23","21","22","16","13","9","12","15","17","23","26","25","25","25","26","26","24","20","22","23","24","23","23","21","20","19","21","18","15","13","15","14","15","16","14","11","11","11","10","7","2","4","0","5","1","2","1","0","0","5","3","0","0","0","2","2","0","2","2","3","4","3","6","6","3","1","1","0","0","1","1","3","3"
"6",119,"9","9","9","9","9","9","9","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"7",120,"8","8","8","8","8","8","8","8","8","8","8","7","7","7","7","6","6","6","4","4","3","1","0","0","0","0","0","0","0","0","0","6","6","6","7","7","7","7","7","7","7","7","7","7","7","8","8","7","7","7","6","5","5","5","5","5","5","5","3","3","3","4","3","3","5","7","8","8","8","8","10","8","8","8","8","9","9","9","9","9","9","10","11","11","11","11","11","11","11","11","11","11"
"8",127,"28","28","28","26","26","28","28","28","28","28","26","27","26","26","27","25","27","20","15","12","11","6","2","1","0","8","5","2","4","0","7","7","6","7","3","3","4","4","7","11","10","10","7","4","2","4","6","6","6","9","8","8","4","4","0","3","7","9","5","6","8","8","4","3","7","7","18","24","22","28","26","28","27","28","25","22","20","17","14","15","16","18","17","19","27","26","26","26","27","27","26","26"
"9",137,"0","0","0","0","0","0","0","0","0","0","1","1","4","5","6","11","13","19","30","36","44","46","46","46","45","46","45","46","46","45","45","45","46","44","45","31","22","23","23","23","25","26","25","22","22","22","23","21","21","19","18","19","17","16","16","15","13","9","5","1","0","1","0","0","0","1","1","0","13","23","19","12","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"10",143,"12","12","12","12","12","13","14","14","14","14","14","13","13","13","14","13","12","12","12","12","15","11","10","7","5","2","3","5","2","0","0","0","0","0","0","1","1","1","1","1","0","0","0","3","3","3","3","3","3","5","5","5","5","5","2","2","2","2","0","2","3","2","4","4","4","4","4","2","4","5","6","5","6","6","5","4","4","7","6","7","8","8","8","8","8","7","7","5","5","5","5","5"
